Dates,Edmonton,Vancouver
Jan 2010,59.9,59.8
Feb 2010,58.1,59
Mar 2010,62.3,63.3
Apr 2010,62.3,63.6
May 2010,61.2,64.3
Jun 2010,59.3,63.8
Jul 2010,59.7,65.6
Aug 2010,58.7,65.7
Sep 2010,60,62.5
Oct 2010,61,64.4
Nov 2010,59.9,64.6
Dec 2010,66.2,67.6
Jan 2011,69.2,68.5
Feb 2011,70,70.4
Mar 2011,77.2,78.3
Apr 2011,83.8,83
May 2011,85.3,84.5
Jun 2011,76.9,81.4
Jul 2011,79.5,79.6
Aug 2011,78.6,80.3
Sep 2011,78.1,84.1
Oct 2011,77.1,85.4
Nov 2011,72.8,79.3
Dec 2011,71.4,74.8
Jan 2012,71.9,76.1
Feb 2012,75.9,80.4
Mar 2012,80.8,87.9
Apr 2012,81.9,87.4
May 2012,79,89.5
Jun 2012,80.8,86.8
Jul 2012,79.2,82.1
Aug 2012,82.5,81.8
Sep 2012,84.6,79.3
Oct 2012,79.2,80.6
Nov 2012,71.6,72
Dec 2012,67.8,71.8
Jan 2013,65.2,73.9
Feb 2013,77.4,85.3
Mar 2013,80.4,84.4
Apr 2013,77.1,81
May 2013,88.8,90.6
Jun 2013,89.2,86.6
Jul 2013,83.5,89.8
Aug 2013,81.3,87.7
Sep 2013,79.4,84.1
Oct 2013,76.7,77.8
Nov 2013,74.6,73.9
Dec 2013,72.6,75.2
Jan 2014,73,75.4
Feb 2014,78.4,79.2
Mar 2014,85.2,85.3
Apr 2014,88,90.1
May 2014,87.4,92.4
Jun 2014,89.8,95
Jul 2014,83,89.2
Aug 2014,82.2,86.5
Sep 2014,83,83.9
Oct 2014,73.9,71.8
Nov 2014,67.9,70.5
Dec 2014,54.2,56
Jan 2015,45.3,47.9
Feb 2015,55.6,60.7
Mar 2015,58.8,67
Apr 2015,57.4,67.5
May 2015,62.1,74.6
Jun 2015,69.4,77.5
Jul 2015,69,77.8
Aug 2015,69,71
Sep 2015,63.7,60.3
Oct 2015,64.9,59.6
Nov 2015,56.2,68.4
Dec 2015,51.4,66.2
Jan 2016,40.6,53.6
Feb 2016,36.2,49.4
Mar 2016,49.1,57.4
Apr 2016,52.6,58.6
May 2016,58.7,63
Jun 2016,64,65.9
Jul 2016,55.8,64.5
Aug 2016,58.5,62.7
Sep 2016,56.4,66.3
Oct 2016,58.1,70
Nov 2016,51.4,57.9
Dec 2016,59.7,66.3
Jan 2017,60.6,67.7
Feb 2017,56.4,67.6
Mar 2017,56.6,74.6
Apr 2017,62.4,77.5
May 2017,58.6,73.6
Jun 2017,54.7,70.3
Jul 2017,55.7,72.3
Aug 2017,58,76.9
Sep 2017,58,76.8
Oct 2017,61.2,76.5
Nov 2017,68.4,80.5
Dec 2017,64.2,76.6
Jan 2018,67.6,80.9
Feb 2018,65.2,83.4
Mar 2018,70.1,90
Apr 2018,79.5,92.5
May 2018,85.5,96.9
Jun 2018,84.5,91.8
Jul 2018,84.6,92.4
Aug 2018,82.7,87.7
Sep 2018,84.4,89.7
Oct 2018,78.3,92.8
Nov 2018,66.5,79.8
Dec 2018,57.6,76
Jan 2019,56.3,70.6
Feb 2019,63.8,73
Mar 2019,73.4,88
Apr 2019,82.5,103.1
May 2019,80.4,103.8
Jun 2019,69.4,84.2
Jul 2019,72.2,86.2
Aug 2019,66.2,83
Sep 2019,66.9,88.4
Oct 2019,65.4,92.3
Nov 2019,65.5,78
Dec 2019,65.1,77.7
Jan 2020,63.8,81.1
Feb 2020,61.3,86.5
Mar 2020,39,62.8
Apr 2020,27,37.9
May 2020,45.9,55.1
Jun 2020,53.6,68.8
Jul 2020,55.3,71.8
Aug 2020,54.6,70.9
Sep 2020,53.2,66.7
Oct 2020,51.7,62.9
Nov 2020,50,65
Dec 2020,53.8,67.4
Jan 2021,58.5,74.8
Feb 2021,65.5,81.6
Mar 2021,70.2,89.1
Apr 2021,72.2,91
May 2021,74.4,93.9
Jun 2021,77.2,100.1
Jul 2021,81.6,106.7
Aug 2021,81,103.8
Sep 2021,82,94.8
Oct 2021,87.8,100.3
Nov 2021,84,98
Dec 2021,79,96
Jan 2022,86.9,107.5
Feb 2022,92.4,113.6
Mar 2022,112.6,133.5
Apr 2022,109.4,133
May 2022,127.8,153.9
Jun 2022,141,158.1
Jul 2022,115.7,135.7
Aug 2022,102.1,127.1
Sep 2022,104.5,140.8
Oct 2022,107.9,142.2
Nov 2022,89.9,117.7
Dec 2022,79.8,100.6
Jan 2023,92,114.2
Feb 2023,86.7,119
Mar 2023,96.3,117.6
Apr 2023,100,119.8
May 2023,97.5,118.9
Jun 2023,97.4,132.3
Jul 2023,94.8,128
Aug 2023,101.7,136.1
Sep 2023,98.9,134.1
Oct 2023,91.5,112.1
Nov 2023,87.2,110.4
Dec 2023,73.5,102.9
Jan 2024,74,100.8
Feb 2024,85,109.1
Mar 2024,92.7,128.2
Apr 2024,98.2,137.1
